time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-12-26T19:08:37.110Z,-24.427,-175.999,33,4.8,mb,36,,,1.03,us,usp000a6s4,2014-11-07T01:11:46.517Z,"south of Tonga",earthquake,,,,11,reviewed,us,us
2000-12-26T15:48:40.250Z,-4.26,102.148,33,4.5,mb,19,,,1.21,us,usp000a6ry,2014-11-07T01:11:46.504Z,"52 km SSW of Bengkulu, Indonesia",earthquake,,,,7,reviewed,us,us
2000-12-26T15:21:26.660Z,-35.025,179.67,33,5.6,mwc,100,,,1.15,us,usp000a6rx,2022-04-29T19:02:29.823Z,"off the east coast of the North Island of New Zealand",earthquake,,,,,reviewed,us,hrv
2000-12-26T10:41:03.250Z,-24.066,-66.695,198,4.8,mb,38,,,1.33,us,usp000a6rq,2014-11-07T01:11:46.473Z,"41 km WNW of San Antonio de los Cobres, Argentina",earthquake,,7.6,,9,reviewed,us,us
2000-12-26T10:22:13.280Z,48.595,92.772,10,4.5,mb,32,,,1.01,us,usp000a6rp,2014-11-07T01:11:46.470Z,"106 km NE of Khovd, Mongolia",earthquake,,,,7,reviewed,us,us
2000-12-26T07:09:02.700Z,1.796,120.303,33,4.7,mb,16,,,0.82,us,usp000a6rk,2014-11-07T01:11:46.462Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,5,reviewed,us,us
2000-12-26T06:12:46.120Z,2.644,97.766,100,4.7,mb,22,,,0.59,us,usp000a6rg,2014-11-07T01:11:46.456Z,"39 km N of Singkil, Indonesia",earthquake,,,,5,reviewed,us,us
2000-12-26T06:00:56.120Z,-21.051,168.655,33,5,mb,60,,,1.12,us,usp000a6rf,2014-11-07T01:11:46.447Z,"97 km NE of Tadine, New Caledonia",earthquake,,,,13,reviewed,us,us
2000-12-26T04:24:39.660Z,-17.547,-178.67,500,4.6,mb,25,,,1.22,us,usp000a6r9,2014-11-07T01:11:46.436Z,"221 km ENE of Levuka, Fiji",earthquake,,,,7,reviewed,us,us
2000-12-26T03:21:00.460Z,20.968,122.059,170.4,5,mb,114,,,0.84,us,usp000a6r7,2014-11-07T01:11:46.426Z,"58 km N of Basco, Philippines",earthquake,,,,49,reviewed,us,us
2000-12-25T20:43:11.810Z,51.301,179.967,55.1,5,mb,147,,,0.96,us,usp000a6qy,2020-02-20T20:31:44.084Z,"244 km WSW of Adak, Alaska",earthquake,,6.8,,61,reviewed,us,us
2000-12-25T19:27:48.520Z,-5.399,148.95,33,4.8,mb,9,,,1.46,us,usp000a6qw,2014-11-07T01:11:46.394Z,"111 km NW of Kandrian, Papua New Guinea",earthquake,,,,4,reviewed,us,us
2000-12-25T19:04:33.940Z,-5.087,148.382,33,4.7,mb,27,,,1.01,us,usp000a6qt,2014-11-07T01:11:46.388Z,"173 km NNE of Finschhafen, Papua New Guinea",earthquake,,,,10,reviewed,us,us
2000-12-25T13:24:22.900Z,-42.519,120.175,10,5.7,mwc,157,,,0.98,us,usp000a6qf,2022-04-29T19:02:24.090Z,"south of Australia",earthquake,,,,,reviewed,us,hrv
2000-12-25T11:16:35.120Z,-23.277,-176.41,33,5.4,mwc,93,,,0.99,us,usp000a6qd,2016-11-10T00:17:10.263Z,"262 km SW of ‘Ohonua, Tonga",earthquake,,,,,reviewed,us,hrv
2000-12-25T10:11:09.370Z,-4.987,148.657,33,4.8,mb,17,,,1.28,us,usp000a6q6,2014-11-07T01:11:46.306Z,"167 km NW of Kandrian, Papua New Guinea",earthquake,,,,4,reviewed,us,us
2000-12-25T05:11:58.550Z,-21.264,-179.124,644.8,5.7,mwc,241,,,0.87,us,usp000a6q0,2022-04-29T19:02:18.957Z,"Fiji region",earthquake,,,,,reviewed,us,hrv
2000-12-25T04:39:05.670Z,11.449,125.788,33,4.7,mb,22,,,0.75,us,usp000a6pz,2014-11-07T01:11:46.247Z,"22 km NE of Hernani, Philippines",earthquake,,,,2,reviewed,us,us
2000-12-25T04:07:57.920Z,-4.444,-80.276,63.6,4.7,mb,32,,,0.72,us,usp000a6pw,2014-11-07T01:11:46.240Z,"23 km N of Las Lomas, Peru",earthquake,,,,6,reviewed,us,us
2000-12-25T01:58:58.670Z,28.612,35.009,10,4.5,ml,15,,,0.77,us,usp000a6pp,2014-11-07T01:11:46.214Z,"52 km ENE of Dahab, Egypt",earthquake,,,,,reviewed,us,gii
2000-12-24T19:40:35.520Z,17.883,147.204,33,4.6,mb,27,,,1.01,us,usp000a6pa,2014-11-07T01:11:46.190Z,"Mariana Islands region",earthquake,,,,5,reviewed,us,us
2000-12-24T19:09:52.600Z,2.275,-79.746,10,4.6,mb,42,,,0.86,us,usp000a6p8,2014-11-07T01:11:46.183Z,"118 km WNW of Tumaco, Colombia",earthquake,,,,14,reviewed,us,us
2000-12-24T17:07:58.800Z,-4.216,-77.922,33,4.9,mb,61,,,0.83,us,usp000a6p0,2014-11-07T01:11:46.166Z,"102 km ESE of Yantzaza, Ecuador",earthquake,,,,22,reviewed,us,us
2000-12-24T17:04:28.650Z,-24,179.983,550,4.6,mb,21,,,0.9,us,usp000a6nx,2014-11-07T01:11:46.157Z,"south of the Fiji Islands",earthquake,,,,8,reviewed,us,us
